X,Y,elevation,elev_units,log_elevation_km,NDVI,scale_NDVI,pop_dens,log_pop_dens
-124.404800385736,42.7060552397955,282,meters,-1.26584820804402,236,1.97526603626072,6.30920553207397,1.84200976245733
-124.49562421972,48.0005032886498,90,meters,-2.40794560865187,224,1.75544631186066,3.85279512405396,1.34879889113243
-124.081418675963,40.258859282125,478,meters,-0.738144546490681,202,1.35244348379389,50.0794143676758,3.91361003278728
-124.058943367429,41.889411581669,575,meters,-0.553385238184787,192,1.16926038012718,6.30920553207397,1.84200976245733
-124.09424089165,43.4179917870094,230,meters,-1.46967597005894,233,1.9203111051607,31.3324661254883,3.44465481637277
-123.912029096368,45.1897612154729,57,meters,-2.86470401114759,227,1.81040124296068,25.4611530303955,3.23715388002192
-124.038053933713,47.1200317593254,28,meters,-3.57555076880693,223,1.73712800149399,3.85279512405396,1.34879889113243
-124.43575499469,48.2619812914982,214,meters,-1.54177926396029,224,1.75544631186066,1.98127567768097,0.683740918903176
-123.561201131586,39.2427680031126,243,meters,-1.41469383564159,217,1.62721813929396,10.5681114196777,2.35784111028308
-123.772214862136,40.9008442346923,846,meters,-0.167235919375914,220,1.68217307039398,2.13912606239319,0.76039736356384
-123.8279364,42.6453693440379,1190,meters,0.173953307123438,210,1.49898996672726,13.0795927047729,2.5710532067654
-123.738277295685,44.3697044161951,179,meters,-1.72036947314138,231,1.88367448442736,71.9857788085938,4.27646858295978
-123.679461743964,46.1050743528459,225,meters,-1.49165487677772,227,1.81040124296068,17.7028751373291,2.87372706352554
-123.83601740883,47.7801982733157,891,meters,-0.115410851511328,185,1.04103220756048,8.17831611633301,2.10148627567484
-123.090731753571,38.5295874114206,225,meters,-1.49165487677772,207,1.44403503562725,9.37608242034912,2.23816202336227
-123.3279364,40.0473656130767,876,meters,-0.132389188045746,194,1.20589700086052,2.13912606239319,0.76039736356384
-123.3279364,41.7793692389141,521,meters,-0.65200523722877,214,1.57226320819395,0.844710290431976,-0.168761561971788
-123.3279364,43.5113682532123,223,meters,-1.50058350752202,216,1.60889982892729,14.2083444595337,2.65382943001095
-123.3279364,45.2433622950223,359,meters,-1.02443289049386,228,1.82871955332735,25.4611530303955,3.23715388002192
-123.337273454916,46.9691092324701,38,meters,-3.27016911925575,225,1.77376462222733,17.7028751373291,2.87372706352554
-122.98728875831,48.5682376932232,18,meters,-4.01738352108597,254,2.3049956228608,126.167961120605,4.83761404402946
-122.44847726997,37.5749397171341,287,meters,-1.24827306322252,204,1.38908010452723,1010.62921142578,6.9183283974725
-122.8279364,39.1813621725819,866,meters,-0.143870370419702,195,1.22421531122719,10.1477355957031,2.31725058657922
-122.8279364,40.9133679815211,1487,meters,0.396760667478018,211,1.51730827709393,24.9382038116455,3.2164009172752
-122.8279364,42.645369344038,568,meters,-0.565633860260986,186,1.05935051792715,22.6009006500244,3.11798975725517
-122.8279364,44.3773659200251,298,meters,-1.21066179247673,224,1.75544631186066,27.6538486480713,3.31976490989407
-122.826612005611,46.1092217542706,124,meters,-2.0874737133771,228,1.82871955332735,33.9082565307617,3.52365854021128
-122.884012027064,47.7712180728397,273,meters,-1.29828348379718,218,1.64553644966063,599.818298339844,6.39662677325177
-121.988238402138,36.6883342395987,-130,meters,-6.90775527898214,254,2.3049956228608,76.2291793823242,4.3337443209196
-122.329458446813,38.3438930775223,55,meters,-2.90042209374967,142,0.253344861793606,123.297760009766,4.8146022430123
-122.3279364,40.0473656130769,135,meters,-2.00248050054371,85,-0.790798829106664,24.9382038116455,3.2164009172752
-122.3279364,41.7793692389142,1116,meters,0.109750863959119,129,0.0152068270268781,4.31469774246216,1.46202727398507
-122.3279364,43.5113682532122,881,meters,-0.126697653045958,216,1.60889982892729,2.05187606811523,0.718754529829286
-122.3279364,45.2433622950222,315,meters,-1.1551826401565,214,1.57226320819395,285.212768554688,5.65323545806633
-122.310112840193,46.9527737418023,207,meters,-1.57503648571677,223,1.73712800149399,33.9082565307617,3.52365854021128
-122.246919364959,48.6410970893763,485,meters,-0.723606388044654,227,1.81040124296068,126.167961120605,4.83761404402946
-121.500165556062,36.0288903352259,602,meters,-0.507497833673316,198,1.27917024232721,5.54665565490723,1.71319516142981
-121.810180999376,37.4451018326515,431,meters,-0.841647188878389,121,-0.131339655906493,295.361114501953,5.6881987246753
-121.8279364,39.1813621725818,146,meters,-1.9241486572738,100,-0.516024173606593,53.2921409606934,3.97578887115739
-121.8279364,40.913367981521,1564,meters,0.447246642123119,196,1.24253362159386,2.04242372512817,0.714137203176224
-121.8279364,42.6453693440378,1365,meters,0.311154428636923,176,0.876167414260434,7.22432899475098,1.97745435698673
-121.8279364,44.3773659200252,1453,meters,0.373630384588146,161,0.601392758760363,23.5405750274658,3.15872552920862
-121.8279364,46.1093573253703,1158,meters,0.146694379150803,218,1.64553644966063,0.521807968616486,-0.650455634996181
-121.822677486648,47.839392770493,86,meters,-2.45340798272863,233,1.9203111051607,17.7737922668457,2.87772502777447
-121.325116561396,36.5822496310047,788,meters,-0.238257189124258,137,0.161753309960249,76.2291793823242,4.3337443209196
-121.323534011845,38.3186915634475,12,meters,-4.42284862919414,121,-0.131339655906493,305.198791503906,5.7209633397167
-121.3279364,40.0473656130769,1745,meters,0.556754555654391,174,0.839530793527091,2.04242372512817,0.714137203176224
-121.3279364,41.7793692389141,1258,meters,0.229523158278249,105,-0.424432621773236,0.910932958126068,-0.0932859759493024
-121.3279364,43.5113682532122,1466,meters,0.38253760346446,165,0.674666000227049,3.63256454467773,1.28993888497002
