X,Y,Year,AOU,SpeciesTotal,State,Genus_species,log_elevation_km,NDVI,scale_NDVI,pop_dens,log_pop_dens
-123.0047055,41.8223332,"2019","3160",6,Califor,Zenaida_macroura,-0.476424197048658,206,1.37356137994149,0.844710290431976,-0.168761561971788
-124.1417935,41.6955943,"2019","3160",0,Califor,Zenaida_macroura,-2.53830742651512,230,1.83946709670932,24.8762168884277,3.2139122019859
-123.9615249,40.4150917,"2019","3160",0,Califor,Zenaida_macroura,-2.2730262907525,225,1.74240340571602,2.13912606239319,0.76039736356384
-122.3059647,40.3520163,"2019","3160",15,Califor,Zenaida_macroura,-1.91054300521802,135,-0.00474303216335723,24.9382038116455,3.2164009172752
-120.6982799,40.5758997,"2019","3160",2,Califor,Zenaida_macroura,0.491642804349217,131,-0.0823939849579962,3.80387496948242,1.33602027597326
-122.9409709,39.5232837,"2019","3160",5,Califor,Zenaida_macroura,0.565881829514069,199,1.23767221255087,10.1477355957031,2.31725058657922
-121.7340849,39.2754327,"2019","3160",59,Califor,Zenaida_macroura,-4.01738352108597,149,0.267035302617879,53.2921409606934,3.97578887115739
-120.7596199,39.1239687,"2019","3160",0,Califor,Zenaida_macroura,0.170586300575534,204,1.33473590354417,9.20099067687988,2.21931116052723
-121.7519384,38.0878897,"2019","3160",16,Califor,Zenaida_macroura,-4.13516655674236,84,-0.994792680295005,305.198791503906,5.7209633397167
-119.8362579,38.3432387,"2019","3160",0,Califor,Zenaida_macroura,0.73716406597672,172,0.713528281187054,7.42738723754883,2.00517414648897
-120.860951,37.5947824,"2019","3160",71,Califor,Zenaida_macroura,-3.32423634052603,162,0.519400899200456,80.5945053100586,4.38943047485696
-119.6302109,37.3670857,"2019","3160",14,Califor,Zenaida_macroura,-0.0790432073404529,195,1.16002125975623,6.04748678207397,1.79964277781532
-120.5305939,35.8086777,"2019","3160",125,Califor,Zenaida_macroura,-0.711311151187616,85,-0.975379942096345,31.9695682525635,3.46478445821245
-119.1639019,35.1800607,"2019","3160",43,Califor,Zenaida_macroura,-2.44184716032755,158,0.441749946405817,66.283576965332,4.1939421585936
-115.7029053,35.473722,"2019","3160",5,Califor,Zenaida_macroura,0.0861776962410524,49,-1.6742385172481,12.671462059021,2.53935238302051
-120.0690309,34.4663227,"2019","3160",14,Califor,Zenaida_macroura,-3.47376807449699,192,1.10178304516025,66.9902648925781,4.20454730872311
-117.1214679,33.9285177,"2019","3160",29,Califor,Zenaida_macroura,-0.627359440021942,80,-1.07244363308964,827.473571777344,6.71837716931202
-116.8011859,33.3988807,"2019","3160",12,Califor,Zenaida_macroura,-0.114289146402128,132,-0.0629812467593365,91.3559036254883,4.51476290717794
-114.7292329,33.4048617,"2019","3160",21,Califor,Zenaida_macroura,-2.65926003693278,81,-1.05303089489098,4.03355836868286,1.39464895626648
-117.104022,32.543555,"2019","3160",12,Califor,Zenaida_macroura,-3.47376807449699,175,0.771766495783033,1998.30786132813,7.60005603208748
-116.23272,32.903954,"2019","3160",83,Califor,Zenaida_macroura,-1.13320373343773,46,-1.73247673184408,186.310317993164,5.22741365982681
-120.8880009,35.2565319,"2019","3160",1,Califor,Zenaida_macroura,-4.42284862919414,190,1.06295756876293,31.9695682525635,3.46478445821245
-117.7611699,37.2267497,"2019","3160",6,Califor,Zenaida_macroura,0.0295588022415444,41,-1.82954042283737,0.0458880141377449,-3.08155132591261
-117.800197,35.6076917,"2019","3160",10,Califor,Zenaida_macroura,-0.253602758798918,54,-1.5771748262548,6.7079553604126,1.90329418925972
-115.4289179,35.5408027,"2019","3160",2,Califor,Zenaida_macroura,-0.191160505461159,48,-1.69365125544676,12.671462059021,2.53935238302051
-116.1930811,35.8040435,"2019","3160",1,Califor,Zenaida_macroura,-0.763569644856491,46,-1.73247673184408,1.1627448797226,0.150783485519684
-115.1040949,34.0883297,"2019","3160",2,Califor,Zenaida_macroura,-1.31676829847128,42,-1.81012768463871,0.144220098853111,-1.93641468206101
-122.8668979,38.0453507,"2019","3160",8,Califor,Zenaida_macroura,-2.3434070875143,225,1.74240340571602,123.297760009766,4.8146022430123
-120.6326679,39.7846537,"2019","3160",0,Califor,Zenaida_macroura,0.334327080274825,192,1.10178304516025,9.20099067687988,2.21931116052723
-121.704424,39.9935292,"2019","3160",21,Califor,Zenaida_macroura,0.0468835858988505,214,1.52886328553076,53.2921409606934,3.97578887115739
-122.2390059,39.7633427,"2019","3160",101,Califor,Zenaida_macroura,-2.3859667019331,144,0.169971611624581,10.1477355957031,2.31725058657922
-119.8237379,38.7754607,"2019","3160",0,Califor,Zenaida_macroura,0.734768855250765,158,0.441749946405817,7.42738723754883,2.00517414648897
-122.5909499,37.9851247,"2019","3160",4,Califor,Zenaida_macroura,-2.10373423424888,202,1.29591042714685,1010.62921142578,6.9183283974725
-118.5296169,37.8002217,"2019","3160",9,Califor,Zenaida_macroura,0.594431207620788,71,-1.24715827687758,2.72578072547913,1.00275489184354
-115.8016279,33.6738577,"2019","3160",5,Califor,Zenaida_macroura,-0.715392789507265,46,-1.73247673184408,2.73617744445801,1.00656185308784
-115.4847789,33.2200507,"2019","3160",30,Califor,Zenaida_macroura,-6.90775527898214,56,-1.53834934985748,2.73617744445801,1.00656185308784
